,PigType,DETECTED,dist_boar,dist_pig,borderMI,borderNY,borderQC
258,domesticated - pot bellied,1,21906.30108543424,2639.3832594062433,206289.52246989976,136090.77603172432,284689.46489718073
259,wild boar,1,167.85323149026797,1456.5010068963154,262847.3367069943,158293.1021521678,223237.91542937222
260,domesticated,1,55563.6949714511,1624.5346755929372,379073.4173244784,258734.71277510544,96735.71928931352
261,domesticated - pot bellied,1,45735.063478579985,5534.445479912892,102308.95604612581,184558.5119376878,459242.70639319957
262,domesticated - pot bellied,1,18194.209076049134,2914.4519057252232,277629.5007969885,171945.37471517816,205532.39298251594
263,,0,20331.46199248917,1545.7653501838636,154168.63327218778,130488.55626355423,356468.2186290956
264,,0,11544.081924091084,1475.2581488833994,337731.6516005511,111206.65515302865,218335.52360774865
265,,0,52332.886041827944,521.0569842477,369941.0966880787,265462.1517263448,104098.09720434537
266,,0,93901.974476075,53859.67711322695,431250.665647832,232293.12920749688,75551.81202025652
267,,0,39691.47376472472,2166.4123790074927,552114.6720756833,148050.32369815747,0.0
268,,0,72187.55605660978,2545.3776776764,103793.5187462956,224203.07309368305,370475.6705995486
269,,0,4280.401589167683,453.31148401105935,184840.26617513373,113908.18295890072,325064.09691854543
270,,0,38289.455981993226,5295.895720433624,424434.8058753269,133553.54110225846,128665.62568739268
271,,0,52915.53773513798,7462.339005893833,366565.97568000434,268688.1595912824,107834.78696460142
272,,0,18074.96364809653,4832.192131072862,364258.9509896961,130999.60312309915,194149.53270430447
273,,0,19856.718251443992,15505.358843930153,507409.7127659138,191391.84130975255,20893.46277630006
274,,0,62385.77286605318,42384.24678659933,476098.1429769204,228402.74663074542,42464.30083439571
275,,0,29041.333399492414,1735.5611372242029,390382.3645129583,125440.06860250351,186885.16587385212
276,,0,48640.65786783028,14109.533599369193,406065.7827441765,154369.94335657125,140745.4570710072
277,,0,7199.819153122157,3230.1203788298358,361212.8968355826,107461.441842982,213902.87162244078
